Timestamp,QR_Data,Distance_meters
2026-08-01 11:30:43,http://en.m.wikipedia.org,0.99
2026-08-01 11:30:46,http://en.m.wikipedia.org,1.05
2026-08-01 11:30:48,http://en.m.wikipedia.org,0.96
2026-08-01 11:31:22,http://en.m.wikipedia.org,0.88
2026-08-01 11:31:48,http://en.m.wikipedia.org,0.92
2026-08-01 11:34:05,http://en.m.wikipedia.org,0.99
2026-08-11 17:30:58,https://qrr.to/ea5f58ef,0.45
2026-08-11 17:31:00,https://qrr.to/ea5f58ef,0.48
2026-08-11 17:31:02,https://qrr.to/ea5f58ef,0.52
2026-08-11 17:31:05,https://qrr.to/ea5f58ef,0.46
2026-08-11 17:31:07,https://qrr.to/ea5f58ef,0.47
2026-08-11 17:33:56,https://qrr.to/ea5f58ef,0.46
2026-08-11 17:33:59,https://qrr.to/ea5f58ef,0.47
2026-08-11 17:34:01,https://qrr.to/ea5f58ef,0.47
2026-08-11 17:34:04,https://qrr.to/ea5f58ef,0.49
2026-08-11 17:34:25,https://qrr.to/ea5f58ef,0.42
2026-08-11 17:34:27,https://qrr.to/ea5f58ef,0.37
2026-08-11 17:34:32,https://qrr.to/ea5f58ef,0.53
2026-08-11 17:42:32,https://qrr.to/ea5f58ef,0.75
2026-08-11 17:42:34,https://qrr.to/ea5f58ef,0.69
2026-08-13 10:07:55,https://qrr.to/ea5f58ef,0.55
2026-08-13 10:07:57,https://qrr.to/ea5f58ef,0.56
2026-08-13 10:07:59,https://qrr.to/ea5f58ef,0.57
2026-08-13 10:10:23,https://qrr.to/ea5f58ef,0.56,Phone Camera
2026-08-13 10:10:26,https://qrr.to/ea5f58ef,0.55,Phone Camera
2026-08-13 10:10:27,https://qrr.to/ea5f58ef,0.55,Phone Camera
2026-08-13 10:10:28,https://qrr.to/ea5f58ef,0.55,Phone Camera
2026-08-13 10:10:29,https://qrr.to/ea5f58ef,0.55,Phone Camera
2026-08-13 10:12:57,https://qrr.to/ea5f58ef,0.37
2026-08-13 10:12:58,https://qrr.to/ea5f58ef,0.38
2026-08-13 10:13:13,https://qrr.to/ea5f58ef,0.82
2026-08-13 10:13:14,https://qrr.to/ea5f58ef,0.82
2026-08-13 10:13:16,https://qrr.to/ea5f58ef,0.82
2026-08-13 10:13:17,https://qrr.to/ea5f58ef,0.82
2026-08-13 10:13:18,https://qrr.to/ea5f58ef,0.82
2026-08-13 10:13:19,https://qrr.to/ea5f58ef,0.83
2026-08-13 10:13:22,https://qrr.to/ea5f58ef,0.63
2026-08-13 10:13:23,https://qrr.to/ea5f58ef,0.63
2026-08-13 10:15:50,https://qrr.to/ea5f58ef,0.44
2026-08-13 10:15:51,https://qrr.to/ea5f58ef,0.44
2026-08-13 10:15:52,https://qrr.to/ea5f58ef,0.44
2026-08-13 10:15:55,https://qrr.to/ea5f58ef,1.13
2026-08-13 10:15:56,https://qrr.to/ea5f58ef,1.14
2026-08-13 10:15:57,https://qrr.to/ea5f58ef,1.14
2026-08-13 10:15:58,https://qrr.to/ea5f58ef,1.14
2026-08-13 10:15:59,https://qrr.to/ea5f58ef,1.15
2026-08-13 10:16:00,https://qrr.to/ea5f58ef,1.14
2026-08-13 10:16:07,https://qrr.to/ea5f58ef,1.32
2026-08-13 10:16:10,https://qrr.to/ea5f58ef,1.22
2026-08-13 10:16:11,https://qrr.to/ea5f58ef,1.20
2026-08-13 10:16:13,https://qrr.to/ea5f58ef,0.92
2026-08-13 10:16:14,https://qrr.to/ea5f58ef,0.93
2026-08-13 10:16:15,https://qrr.to/ea5f58ef,0.96
2026-08-13 10:16:16,https://qrr.to/ea5f58ef,0.96
2026-08-13 10:16:17,https://qrr.to/ea5f58ef,0.96
2026-08-13 10:17:48,https://qrr.to/ea5f58ef,1.02
2026-08-13 10:18:00,https://qrr.to/ea5f58ef,0.84
2026-08-13 10:21:17,https://qrr.to/ea5f58ef,0.55
2026-08-13 10:21:25,https://qrr.to/ea5f58ef,0.53
2026-08-13 10:21:26,https://qrr.to/ea5f58ef,0.54
2026-08-13 10:21:27,https://qrr.to/ea5f58ef,0.53
2026-08-13 10:21:28,https://qrr.to/ea5f58ef,0.54
2026-08-13 10:21:29,https://qrr.to/ea5f58ef,0.53
2026-08-13 10:23:54,https://qrr.to/ea5f58ef,0.67
2026-08-13 10:23:55,https://qrr.to/ea5f58ef,0.67
2026-08-13 10:23:56,https://qrr.to/ea5f58ef,0.67
2026-08-13 10:23:57,https://qrr.to/ea5f58ef,0.66
2026-08-13 10:23:58,https://qrr.to/ea5f58ef,0.67
2026-08-13 10:23:59,https://qrr.to/ea5f58ef,0.67
2026-08-13 10:24:00,https://qrr.to/ea5f58ef,0.66
2026-08-13 10:24:01,https://qrr.to/ea5f58ef,0.66
2026-08-13 10:24:05,https://qrr.to/ea5f58ef,0.45
2026-08-13 10:24:06,https://qrr.to/ea5f58ef,0.44
2026-08-13 10:24:07,https://qrr.to/ea5f58ef,0.43
